id,clues,solution,source
2300,040001609000030802800000045200008003609000000010003200000400900095000014000000000,542871639961534872873629145257168493639742581418953267326417958795286314184395726,qqwing
2301,500020700798010000000060040000240050000000600020001009040000020610000000905000006,564823791798514263231967548186249357459738612327651489843176925612395874975482136,qqwing
2302,000062090000007008000900005005040060090680040400500007530000700006000082900000000,754862193619357428823914675385741269297683541461529837538296714176435982942178356,qqwing
2303,000000089002060000080050001210000034000000000508290000000500000000009015050018093,175342689392861547684957321216785934749136852538294176921573468863429715457618293,qqwing
2304,524800009100007400006900000060005000805000000910400080200710900670500004050090000,524836179193257468786941235462385791835179642917462583248713956679528314351694827,qqwing
2305,700005806106040320300060704000000200500007638000000057002000000000450000000210000,724395816196748325385162794678531249541927638239684157952873461813456972467219583,qqwing
2306,000293040000060000000000072600430010002800300007906004309040081004000700200000036,756293148821764953943581672698432517412857369537916824379645281164328795285179436,qqwing
2307,000900000000008135000301020900530080000000000300082076000090000052060708006807000,531924867249678135867351429974536281628719543315482976783295614452163798196847352,qqwing
2308,406007000071090004200800001009000800000400030130070600000160302000230000000000000,486517923371692584295843761549326817768451239132978645854169372617235498923784156,qqwing
2309,300000092060000010004009000000980701000003420000100000010002030082000006006000048,371456892269738514854219673523984761198673425647125389415862937982347156736591248,qqwing
2310,000000170000970608030000000009500400000000016046080000300010000960004000150000039,698245173421973658735861942819536427573492816246187395382719564967354281154628739,qqwing
2311,105002000004000030920400005000005900800710002000000007050147000200350000000009080,135672498784591236926483175467825913893714652512936847658147329249358761371269584,qqwing
2312,390020410000005000486001090900053006008640500000000000000030000201004850600200000,395826417712495368486371295924753186138649572567182934849537621271964853653218749,qqwing
2313,000964000000000000903000000370001008008700009000003070080300240002006901040019030,827964513461538792953172684375691428218745369694823175189357246732486951546219837,qqwing
2314,200004005300009800008005016003000060004050002000008450001080000060020900000006000,217864395356219847498735216583142769674953182129678453931587624765421938842396571,qqwing
2315,370000080050108000001093002000000007000900201600807500589600000200050000000000000,374562189952178346861493752195246837748935261623817594589621473236754918417389625,qqwing
2316,063000010000000000007632000700008000030000040012400600000000081006017029090200400,563894712429571836187632954754168293638729145912453678275946381846317529391285467,qqwing
2317,907003040000900050004750000000000001500000267130020000600000000200570300000000912,957263148862941753314758629729685431548319267136427895683192574291574386475836912,qqwing
2318,060004580030507900001000000010409050050703801600000700004000008000006000090800000,967314582432587916581692437718429653259763841643158729124975368875236194396841275,qqwing
2319,000600000000000010080093000004100000900000020700006004007400002000029647023800009,275641893349758216186293475534172968968534721712986534697415382851329647423867159,qqwing
2320,000000000960045000000902000002069084700030205050400036400300000080070000607200040,214683957963745812578912463132569784746831295859427136421396578385174629697258341,qqwing
2321,000020690004609000000005007061004000920003050000000003200050060000000209000800100,573428691814679532692135847361594728928713456745286913287951364156347289439862175,qqwing
2322,000000000403009000050700203007060051305000900200007060010000037020000400000046005,192538746473629518658714293947362851365481972281957364814295637526173489739846125,qqwing
2323,009000000154230000380000000042708003001900000000300028007000000493070500500040170,279185436154236897386497251942758613831962745765314928617529384493871562528643179,qqwing
2324,300046507057000004600000800800002000000809023000000040076000005500000000083070496,328946517957138264614725839839462751745819623162357948476293185591684372283571496,qqwing
2325,000000000076100093890024000900067000020080500060000480008000007735000900040000030,352796814476158293891324765984567321123489576567231489218943657735612948649875132,qqwing
2326,400000900005000062030106700907000000000050300000000070790200630000003400006401050,462578913175349862839126745957834126218657394643912578794285631521763489386491257,qqwing
2327,900100708050600000200080010700010000102590070005000023000900000000030250080200009,943125768851647932276389415738412596162593874495768123524976381619834257387251649,qqwing
2328,200000400000001032000304710600002104030670200050010008008200000000000000405000003,213785496547961832896324715689532174134678259752419368378256941961843527425197683,qqwing
2329,500802407000059000040006000004000370008000500000500006000007920960000000730020805,596832417217459683843716259654291378178643592329578146485367921962185734731924865,qqwing
2330,000200050005010008000605009090000000001500000000870921140000000200000040706090812,937248156625917438418635279392461587871529364564873921143782695289156743756394812,qqwing
2331,004000200007000500200107000000000100000408372000000008102084050005290040083005000,564839217817642539239157684748923165956418372321576498192384756675291843483765921,qqwing
2332,087000050300000008100025000800000023201000000009006000502008016600050930090010002,987463251325179648164825397876591423251347869439286175542938716618752934793614582,qqwing
2333,795000060800005100600080200003050900100070050200300000002000000007200008500006000,795123864824965137631487295473851926189672453256349781342518679967234518518796342,qqwing
2334,100000500000000004090500630005204103430090208910600040050900082080000000009000006,143826579576319824298547631865274193437195268912683745754961382681432957329758416,qqwing
2335,050906300042000600003042008200750000904000000070008034000603000000000720000000080,158976342742835691693142578231754869984361257576298134427683915865419723319527486,qqwing
2336,000000050080004090025070001100000007973000048000003900040000030700000002008039000,497381256681254793325976481152498367973562148864713925546127839739845612218639574,qqwing
2337,001040050000800000400310000010500800008000007030060490760000015040000360003050008,281749653359826174476315289914537826628194537537268491762483915845971362193652748,qqwing
2338,000412000500000000060007020001000300000003800400500000070000006006208050300100040,793412568512896437864357921281649375659723814437581692175934286946278153328165749,qqwing
2339,007080090230004000010963400000030010000849300080270009043000600070000000100000000,467582193239714856815963472794635218521849367386271549943127685672458931158396724,qqwing
2340,030090650000800200800600040003000500057020090090003720000070000020060000904000000,732491658649857231815632947283749516457126893196583724361975482528364179974218365,qqwing
2341,000067300000000761000004900026400000000000070000009023040500000090003104012000000,985167342234895761167234985326478519459312678871659423743581296698723154512946837,qqwing
2342,003508000080009000700000030900000002850000600032060700500000390000000046000846200,423518967681739524795624831967381452854297613132465789546172398278953146319846275,qqwing
2343,000302905005000000000007080053060001900000002008000057500000000030019020001080600,867342915125896734349157286253768491974531862618924357582673149736419528491285673,qqwing
2344,000000008000100000752000906800000050090000081020000769010800030005009002003510007,139265478468197523752384916876921354594673281321458769917842635685739142243516897,qqwing
2345,000000040032000098000080103001200000079803000305004000000000070200045000708001520,816539247532417698947682153481296735679853412325174869154928376263745981798361524,qqwing
2346,650000000000000010008600900000001000900000527000020180005390000700008600003060270,657912438329845716148673952472581369981436527536729184265397841714258693893164275,qqwing
2347,000000000005028060480003000050000002630901005000000000300000090801000320026030081,263594178915728463487163259758346912632971845149285637374812596891657324526439781,qqwing
2348,010050000000900600793000020000000000500640003004312000052400000900503407300060000,416257938285934671793186524138795246529648713674312895852471369961523487347869152,qqwing
2349,080600031100570064400000000050000370078300000000000000009103000007040900040009680,785694231193572864426831759654918372978325146312467598569183427837246915241759683,qqwing
2350,000080700400070000000500010096008000100200809500000100008010470000040600000902000,613489725425371968879526314396158247147263859582794136938615472251847693764932581,qqwing
2351,001000009020700000090000630000006003005000147000020000300405020010009000004000010,831264579526793481497851632178546293265938147943127865389415726712689354654372918,qqwing
2352,041000785068000200950000000800000000010090004002057100500010600089006070006000001,241639785768541239953782416835164927617298354492357168574813692189426573326975841,qqwing
