id,clues,solution,source
4300,000000705000030000090020400200008000004050900000203007480000600007600039500900200,342819765856734192791526483275498316634157928918263547489372651127645839563981274,qqwing_2
4301,350040009002006000714200300000000700040710000900503010000000005000030060070100003,356841279892376541714259386231694758645718932987523614463987125129435867578162493,qqwing_2
4302,000054007760000003005020900030400000001900000070002004000005000002000300940207050,298354617764198523315726948536471289421983765879562134187635492652849371943217856,qqwing_2
4303,514000000000000020060500003000070300608020500000048010850036007027000000000000200,514382769783469125269517843142975386698123574375648912851236497927854631436791258,qqwing_2
4304,000050060040207300001000007050402000000300001000000620070010000600005009000620003,793154862846297315521836497157462938264389571389571624478913256632745189915628743,qqwing_2
4305,030000900570210000004905000057000640002000000400009052300070160001000000060000007,136487925579216483824935716957328641682541379413769852395872164741653298268194537,qqwing_2
4306,359720006104300000600000000006000100095170002000000050030402075000010000000537601,359728416174356298628941537786295143495173862213684759831462975567819324942537681,qqwing_2
4307,072000000060000008400000007800070060020801903390600080040900000003006004216400000,572168349169743258438295617851379462624851973397624581745982136983516724216437895,qqwing_2
4308,090000340080103000000004508008900200400205980100400060000000000900000003003000492,591682347784153629362794518658971234437265981129438765215349876946827153873516492,qqwing_2
4309,500000000048000000319850000407000600900014050800500090700003504000460309000070080,572349861648721935319856247457298613923614758861537492796183524185462379234975186,qqwing_2
4310,041600005000905008000070000000001020700209060800000904050007000607800000090400080,941628375273915648586374192369541827714289563825736914458167239637892451192453786,qqwing_2
4311,390000007470060030102700006000270940000800000040013000030000019000089074000001800,396142587478965132152738496583276941721894365649513728834657219215389674967421853,qqwing_2
4312,030020000002790030000008005380010020070050009109003070010009003000005000008600000,934521867852796134761348295385917426476852319129463578517289643643175982298634751,qqwing_2
4313,030002075060071098009000000975800000006005000020100006000700010800530000090006000,134982675562371498789654321975863142316245789428197536653728914841539267297416853,qqwing_2
4314,000000000020640000060301200490000008008090000200010093800456000003280001500009000,384925617721648539965371284497563128138792465256814793819456372643287951572139846,qqwing_2
4315,000000600000950070004700091000308000408000706100076000050007930000030000060519000,793281654216954378584763291675328419438195726129476583851647932947832165362519847,qqwing_2
4316,000030000106050400000000803510063907000010006004790000708000590000900600000000308,845239761136857429297146853512463987973518246684792135768321594351984672429675318,qqwing_2
4317,053460000000003000000090004000050060000028403090040700020000905000000070008075026,153467289249583617786192534834759162571628493692341758327816945965234871418975326,qqwing_2
4318,200600001030000600007290030100000000000308000600970000000750010008003020752000000,294635871531847692867291435183526749479318256625974183346752918918463527752189364,qqwing_2
4319,420015600000000109009036000000000400040502080800000000504000000280000006100080003,423915678658427139719836524372198465941562387865743291534679812287351946196284753,qqwing_2
4320,001000802005008076000100590520093060010000000000000000700800053000006010000002709,471965832295348176863127594528793461917684325634251987742819653359476218186532749,qqwing_2
4321,000003040902000000630809070087600002010708300300902008000300000020007009000060400,875123946942576813631849275587634192219758364364912758458391627126487539793265481,qqwing_2
4322,000005080000040000170600500710000020056020001400001300304700000000004000000800106,642135987835947612179682534713496825956328471428571369364719258581264793297853146,qqwing_2
4323,000000403000091208201300506800060000145900000020030000310000000000000900408620000,957286413634591278281347596893462751145978362726135849319854627562713984478629135,qqwing_2
4324,010000903000000080006097020600430000000800000003006004002070316000360207000004000,714582963259643781836197425625431879471859632983726154542978316198365247367214598,qqwing_2
