id,clues,solution,source
3600,090001207700305400000006000020000709000000300370450000010090004000700000000000612,593841267786325491241976835624138759159267348378459126812693574465712983937584612,qqwing_2
3601,208050003070000800096000000600000000040002700002300098004900206900640000000008005,218759463473126859596483172631897524849562731752314698384975216925641387167238945,qqwing_2
3602,090000000000284705500000380000000040000002100000408000350700000809003004074001930,798135462163284795542976381621597843487362159935418627356749218819623574274851936,qqwing_2
3603,500000000001003800002900060000070050090005008070208130367000000000700500000000900,536827491941653827782914365814379652293165748675248139367591284429786513158432976,qqwing_2
3604,500019037000300000080007006070200001008003005620001700900500600000020050000008000,564819237791362584283457196379245861148673925625981743912534678837126459456798312,qqwing_2
3605,006400000820057000709000300000793000030000072600002800000500000000670400000008006,356419287821357964749286351182793645934865172675142893268534719593671428417928536,qqwing_2
3606,732000080600107050000000000090020130006008000007096500205000907070000000008600000,732569481689147253451283679894725136526318794317496528265831947173954862948672315,qqwing_2
3607,003000800000094027000506004086049030000650000000003000400000000000030900675020040,543172869861394527927586314186249735392657481754813692439761258218435976675928143,qqwing_2
3608,708003010000708000000090000500000780280006100003000006301902000000600000005180270,758263914129748365436591827564319782287456139913827546341972658872635491695184273,qqwing_2
3609,000600000000000900000008405069001000800069040000305008031540000007100300540000017,398654172415732986672918435769481523853269741124375698231547869987126354546893217,qqwing_2
3610,901070008006508000080912000700100000005000002120004760008000170000700005000000080,931476528276538491584912637763129854845367912129854763458293176692781345317645289,qqwing_2
3611,003005020080190000000004059200306000000000000300042590000060000000050681010900000,493685127582197364167234859259316748648579213371842596835461972924753681716928435,qqwing_2
3612,100070000054000706002008500000710000080056000000000000301602008000005400060080200,196573824854291736732468591543719682287356149619824375371642958928135467465987213,qqwing_2
3613,380072100060014500004800000815000003000000070070306000000000050000000014430000002,389572146267914538154863927815427693643189275972356481728641359596238714431795862,qqwing_2
3614,000003070000200405300068000003007000000002000065400100007000002640000000002180006,521943678896271435374568291483617529719852364265439187157396842648725913932184756,qqwing_2
3615,200051040000000600051000000020006008084009000705102060500064020000700000019005000,236851947847293615951647832123476598684539271795182364578964123362718459419325786,qqwing_2
3616,000802300000600080300009000100067002060900001400201000000000203000048070040100006,596872314214635987378419625185367492762984531439251768851796243623548179947123856,qqwing_2
3617,010000000608000103942000068800009000000400812000200090003000600780106009000042000,315628974678954123942371568826719435597463812431285796253897641784136259169542387,qqwing_2
3618,900000000076000080003090750009760000000003400007040000000030204020080000750002090,985371642176425983243896751439768125862153479517249836698537214321984567754612398,qqwing_2
3619,000000005090028006000700000000003400006000097408000032602800050043000008700900040,827346915594128376361795824259673481136482597478519632612834759943257168785961243,qqwing_2
3620,000209004000410085000500001203000058705000409004003700800001002107002000009000000,571289364632417985498536271263794158715628439984153726846371592157962843329845617,qqwing_2
3621,043100800000600501000007000002000403010506000030072000000000080008000062000320104,643159827297683541185247936562891473714536298839472615421765389358914762976328154,qqwing_2
3622,080000005009208000000700000035400600900300004600059000300800000204000807067040003,183694725579238146426715938735482691912376584648159372351827469294563817867941253,qqwing_2
3623,000000007870300400090000510006530700004010000000000090000780050500901008000040300,265194837871356429493278516916532784754819263328467195642783951537921648189645372,qqwing_2
3624,400300002070006080000040036000200000010000050204000000360008720000531000850700000,486359172973126584125847936598213467617984253234675819361498725742531698859762341,qqwing_2
3625,000790413300040020010000000842100000097000100000080000500030800078000040030000570,285796413369541728714823956842179635697352184153684297521437869978265341436918572,qqwing_2
3626,008109347403000010000000000800000706100004000067000090001000000090000020000020108,628159347473268915915437862842391756159674283367582491281745639796813524534926178,qqwing_2
3627,030000090901000000065000100009700300600250007300000001090500600176340500000001702,732185496941637825865429173429716358618253947357894261293578614176342589584961732,qqwing_2
3628,270056004009800700000700060020000005000004800600090030400000006000200000300007002,273956184569841723814732569921378645735624891648195237482519376197263458356487912,qqwing_2
3629,030500061007600092000003070068000000000005700250010000000700020302006000190000000,839572461547681392621493578768934215913265784254817936486759123372146859195328647,qqwing_2
3630,000402001700008002401700030800020070004000908172000006000206000000870003090000000,985432761763198542421765839859623174634517928172984356318256497546879213297341685,qqwing_2
3631,020004000004000300030050900700000500060000030900803000000500006080067000046308059,625934871194782365837651942713246598468195237952873614371529486589467123246318759,qqwing_2
3632,000095017000027900000100405007204000506900001000060000000000050904600000100080006,423895617615427983879136425397214568546978231281563794768342159934651872152789346,qqwing_2
3633,000402000870000000003000090000207900004005010500031200710000480000013000059700000,195472836872396145463158792631247958924865317587931264716529483248613579359784621,qqwing_2
3634,708300900001500078004800100300100400000040250000000089000000000050000790000087004,728316945931524678564879123392158467687943251145762389473295816856431792219687534,qqwing_2
3635,000090000020083500005002000040000700008050406200068030089030045700900300000000000,873594261926183574415672893641329758398751426257468139189237645764915382532846917,qqwing_2
3636,000000072040900300318200000000495000000000007923800005009000420000503000002000703,695134872247958361318276594761495238854362917923817645539781426476523189182649753,qqwing_2
3637,000000000007009000000002709009000070026008090800000102072031004014720030060904000,291475386487369521635182749159243678726518493843697152572831964914726835368954217,qqwing_2
3638,100390700050004030003002900700045000010926000000030040000067210072000000600000000,126398754957614832843572961739845126514926387268731549395467218472183695681259473,qqwing_2
3639,040270030003100400760000000000390012009040000020000000002008000070060090030400061,841279635293156487765834129486395712319742856527681943652918374174563298938427561,qqwing_2
3640,009007002100600008080020007400706000037200609008910704000004000000000080900100000,349857162172693548685421397491736825537248619268915734826374951714569283953182476,qqwing_2
3641,400002600970100008008050004100407000006001000004000070000006009080000040600940051,415892637973164528268753914192437865736581492854629173541376289389215746627948351,qqwing_2
3642,000000900000007581710009024098000000200900310003254890000000000080000400004301000,826145973439627581715839624598713246247968315163254897372496158681572439954381762,qqwing_2
3643,002000000089500602000801000000904003000002800300100500150000000098000064200600000,512496387489573612637821459861954723975362841324187596156749238798235164243618975,qqwing_2
3644,000630280800007604000005090040008000002050006600000030000080960050000000003209000,719634285835927614426815793547368129392751846681492537274583961958146372163279458,qqwing_2
3645,060070000000200940094380000000000002000800007080000090070000100038002006941600300,163974285857216943294385761716549832429863517385721694672438159538192476941657328,qqwing_2
3646,042058010000900000000600080100000400060040800050360001030100000080090006519000000,642758319875913642391624587123879465967541823458362791236187954784295136519436278,qqwing_2
3647,230000000740000800005018000000670000007003001002400050500100300024007010003025006,238546179741239865695718234159672483467853921382491657576184392924367518813925746,qqwing_2
3648,600800000000306040003270100702650001000020000001000003007004500805000300000000020,619845732278316945453279186782653491934721658561498273327184569845962317196537824,qqwing_2
3649,000980700800030050000000036009000070500700308060350000000000000090807401007040600,253986714876431952941275836439618275512794368768352149684123597395867421127549683,qqwing_2
3650,040009060000006003010050004000503000009007000002040000035902000000000501490600002,243179865587426913916358274864593127159267348372841659735912486628734591491685732,qqwing_2
3651,905000080700003010380002000600020079090080250100009000000000028003600100070000060,925417683764893512381562947638125479497386251152749836516934728243678195879251364,qqwing_2
3652,100070300050001600003000000300200156700005000000800000510009007000006209069020000,186574392254931678973682415348297156721465983695813724512349867837156249469728531,qqwing_2
3653,405000000100000040000080000004006001029400800600000070200005060050027410060000950,495213687182769345736584129874356291529471836613892574241935768958627413367148952,qqwing_2
3654,307000000100000009000000060000630070004580000000091508931700046008000003400800000,387269415162354789549178362815632974294587631673491528931725846728946153456813297,qqwing_2
3655,040005600006000705009000020920370000007040001000000000600030400000700210000001090,742815639186923745359467128921376584837542961465198372618239457593784216274651893,qqwing_2
3656,400000000000010000086007002007001063060080710100002850600050300030000020042070000,471629538325418976986537142857941263264385719193762854619254387738196425542873691,qqwing_2
3657,020001009096500001705040060000000040309000005000306000001000096002000703030605000,423861579896572431715943268168759342379428615254316987541237896682194753937685124,qqwing_2
3658,000003007500000090008000000000148050000305000000020300903004100270050009040000520,694583217527416893138792645369148752482375961715629384953264178276851439841937526,qqwing_2
3659,960000003080400106401806900000608400100005000000130005800000000500009000090200300,967512843285493176431876952359628417172945638648137295813764529524389761796251384,qqwing_2
3660,000470520007000000005006004080030007000840360062500090200000080040700000500900002,631478529497251836825396174184639257759842361362517498273164985948725613516983742,qqwing_2
3661,670000000009000700080400923100080009040600030020709800000002000090800000064900300,672193584439258716581467923157384269948625137326719845713542698295836471864971352,qqwing_2
3662,000090010700001695000700000010905003000000000500078006000023500060000070009100268,635894712784231695921756834217965483846312957593478126178623549462589371359147268,qqwing_2
3663,000704000060090027000500630005001040000009002290607100700000000900000054020000000,312764598568193427479582631685321749147859362293647185754938216931276854826415973,qqwing_2
3664,400000700006000000073000000035200004100006000607030050020050310000480207080120500,418365729956742831273918465835291674142576983697834152724659318561483297389127546,qqwing_2
3665,006000059790306000004000000300000000002060010040790030400200000000509000051004092,236841759798356241514927683367185924982463517145792836479238165623519478851674392,qqwing_2
3666,100000906090000000037000000004000102062001790370000400000230000000940801400100207,148523976596714328237689514954376182862451793371892465715238649623947851489165237,qqwing_2
3667,008000000640800701073000240010000084005000003000005600080060000000140300700000002,128574936649823751573691248216937584495286173837415629381762495952148367764359812,qqwing_2
3668,700300000008570004900000080010020040000130900000007030024800100300000000000010500,745398216168572394932641785613925847487136952259487631524863179371259468896714523,qqwing_2
3669,000000005008062097940008620005000080401000000760000900000046059000009000050821070,326974815518362497947158623295413786481697532763285941832746159174539268659821374,qqwing_2
3670,000300100004000980290000000900860300086700000000019004060407012402080000070000000,758394126634271985291658743945862371186743259327519864869437512412985637573126498,qqwing_2
3671,305000106790003000061000000958000000007800090010005060009000000006901030000430000,385249176794163528261587943958326714627814395413795862539672481846951237172438659,qqwing_2
3672,000210806170000020028507000052180000410056000007000000065470001000000400001890000,534219876176348925928567143352184769419756382687932514865473291793621458241895637,qqwing_2
3673,009000060010005000265007810700000000000600002106402000000001009570000000091780006,439128567817365924265947813723819645984653172156472398642531789578296431391784256,qqwing_2
3674,730980000690203040000400000089000006300000250007000430000004000920800000040060500,734985621695213847812476395489532716361748259257691438576124983923857164148369572,qqwing_2
3675,007008902500001800000307060025870000030000000809603000100000000098200053000005000,317568942562491837984327561625874319431952678879613425156739284798246153243185796,qqwing_2
3676,030000004000010000004050000006300405203000009000001020300002600005960100089004500,132786954568419237974253861896327415213645789457891326341572698725968143689134572,qqwing_2
3677,000310960000008000031054002060200001042003000150060000000000000600000500400000610,874312965526978143931654782369285471742193856158467239215746398697831524483529617,qqwing_2
3678,078032900090075008002001070000094750200000800000000004009007300010050020400000000,578632941691475238342981576163894752254716893987523614829147365716358429435269187,qqwing_2
